Breed,links
Retrievers (Labrador),https://www.akc.org/dog-breeds/labrador-retriever/
German Shepherd Dogs,https://www.akc.org/dog-breeds/german-shepherd-dog/
Retrievers (Golden),https://www.akc.org/dog-breeds/golden-retriever/
Beagles,https://www.akc.org/dog-breeds/beagle/
Bulldogs,https://www.akc.org/dog-breeds/bulldog/
Yorkshire Terriers,https://www.akc.org/dog-breeds/yorkshire-terrier/
Boxers,https://www.akc.org/dog-breeds/boxer/
Poodles,https://www.akc.org/dog-breeds/poodle-standard/
Rottweilers,https://www.akc.org/dog-breeds/rottweiler/
Dachshunds,https://www.akc.org/dog-breeds/dachshund/
French Bulldogs,https://www.akc.org/dog-breeds/french-bulldog/
Doberman Pinschers,https://www.akc.org/dog-breeds/doberman-pinscher/
Pointers (German Shorthaired),https://www.akc.org/dog-breeds/german-shorthaired-pointer/
Siberian Huskies,https://www.akc.org/dog-breeds/siberian-husky/
Shih Tzu,https://www.akc.org/dog-breeds/shih-tzu/
Great Danes,https://www.akc.org/dog-breeds/great-dane/
Miniature Schnauzers,https://www.akc.org/dog-breeds/miniature-schnauzer/
Cavalier King Charles Spaniels,https://www.akc.org/dog-breeds/cavalier-king-charles-spaniel/
Pomeranians,https://www.akc.org/dog-breeds/pomeranian/
Australian Shepherds,https://www.akc.org/dog-breeds/australian-shepherd/
Shetland Sheepdogs,https://www.akc.org/dog-breeds/shetland-sheepdog/
Chihuahuas,https://www.akc.org/dog-breeds/chihuahua/
Boston Terriers,https://www.akc.org/dog-breeds/boston-terrier/
Pembroke Welsh Corgis,https://www.akc.org/dog-breeds/pembroke-welsh-corgi/
Havanese,https://www.akc.org/dog-breeds/havanese/
Mastiffs,https://www.akc.org/dog-breeds/mastiff/
Maltese,https://www.akc.org/dog-breeds/maltese/
Spaniels (English Springer),https://www.akc.org/dog-breeds/english-springer-spaniel/
Spaniels (Cocker),https://www.akc.org/dog-breeds/cocker-spaniel/
Brittanys,https://www.akc.org/dog-breeds/brittany/
Pugs,https://www.akc.org/dog-breeds/pug/
Bernese Mountain Dogs,https://www.akc.org/dog-breeds/bernese-mountain-dog/
Weimaraners,https://www.akc.org/dog-breeds/weimaraner/
Vizslas,https://www.akc.org/dog-breeds/vizsla/
Collies,https://www.akc.org/dog-breeds/collie/
West Highland White Terriers,https://www.akc.org/dog-breeds/west-highland-white-terrier/
Newfoundlands,https://www.akc.org/dog-breeds/newfoundland/
Papillons,https://www.akc.org/dog-breeds/papillon/
Rhodesian Ridgebacks,https://www.akc.org/dog-breeds/rhodesian-ridgeback/
Bichons Frises,https://www.akc.org/dog-breeds/bichon-frise/
Bullmastiffs,https://www.akc.org/dog-breeds/bullmastiff/
Basset Hounds,https://www.akc.org/dog-breeds/basset-hound/
Retrievers (Chesapeake Bay),https://www.akc.org/dog-breeds/chesapeake-bay-retriever/
Border Collies,https://www.akc.org/dog-breeds/border-collie/
Akitas,https://www.akc.org/dog-breeds/akita/
Shiba Inu,https://www.akc.org/dog-breeds/shiba-inu/
St. Bernards,https://www.akc.org/dog-breeds/st-bernard/
Bloodhounds,https://www.akc.org/dog-breeds/bloodhound/
Portuguese Water Dogs,https://www.akc.org/dog-breeds/portuguese-water-dog/
Cane Corso,https://www.akc.org/dog-breeds/cane-corso/
Soft Coated Wheaten Terriers,https://www.akc.org/dog-breeds/soft-coated-wheaten-terrier/
Bull Terriers,https://www.akc.org/dog-breeds/bull-terrier/
Miniature Pinschers,https://www.akc.org/dog-breeds/miniature-pinscher/
Chinese Shar-Pei,https://www.akc.org/dog-breeds/chinese-shar-pei/
Scottish Terriers,https://www.akc.org/dog-breeds/scottish-terrier/
Airedale Terriers,https://www.akc.org/dog-breeds/airedale-terrier/
Alaskan Malamutes,https://www.akc.org/dog-breeds/alaskan-malamute/
Australian Cattle Dogs,https://www.akc.org/dog-breeds/australian-cattle-dog/
Whippets,https://www.akc.org/dog-breeds/whippet/
Belgian Malinois,https://www.akc.org/dog-breeds/belgian-malinois/
Cairn Terriers,https://www.akc.org/dog-breeds/cairn-terrier/
Spaniels (English Cocker),https://www.akc.org/dog-breeds/english-cocker-spaniel/
Lhasa Apsos,https://www.akc.org/dog-breeds/lhasa-apso/
Dalmatians,https://www.akc.org/dog-breeds/dalmatian/
